Date,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Delhi
2019-02-14,106.19,304.02,181.51,312.48,267.08,135.75,280.5,234.97,355.71,380.07,476.37,49.04,75.09,331.73,294.66,69.76,121.9,329.42,310.4,99.83,357.22,374.3,270.53,114.68,90.16,597.35,152.14,90.25,196.81
2019-02-15,110.05,303.59,197.71,321.47,253.52,136.99,291.01,238.36,352.6,371.44,479.41,51.06,79.45,342.24,282.59,72.92,121.03,331.48,303.18,90.27,351.35,374.97,274.07,100.15,103.27,590.68,156.91,85.68,202.33
2019-02-16,118.82,313.17,199.28,318.61,265.42,149.07,272.19,249.01,343.66,381.45,480.18,58.0,83.11,349.75,286.81,69.93,121.75,320.25,296.64,81.87,348.21,383.95,275.41,115.41,107.01,589.14,163.75,87.37,204.97
2019-02-17,100.69,309.78,189.71,320.46,256.22,137.53,274.96,245.69,352.79,380.47,496.12,45.34,84.1,342.35,278.14,83.8,127.06,318.54,303.03,85.49,358.69,379.86,281.13,97.52,98.66,578.25,165.62,86.12,185.55
2019-02-18,102.69,299.83,196.78,306.85,256.35,138.32,276.82,250.56,353.33,372.56,481.28,41.6,88.63,349.81,291.32,77.01,113.53,318.82,293.38,100.28,344.83,389.66,278.58,101.04,95.11,589.57,168.48,80.51,201.04
2019-02-19,103.06,311.69,199.76,307.85,262.89,152.07,278.58,243.99,351.21,382.1,494.76,42.72,86.23,342.26,278.87,84.23,121.23,323.95,308.08,82.64,361.47,374.14,284.01,100.43,95.31,597.22,152.46,82.62,187.75
2019-02-20,106.76,312.01,191.32,309.14,267.05,151.63,286.37,249.75,343.53,378.55,478.95,45.58,83.71,343.68,281.76,87.27,118.38,323.29,298.41,83.82,345.6,384.13,279.59,107.09,89.76,596.89,168.29,72.5,186.38
2019-02-21,113.12,296.12,188.21,309.64,253.34,145.71,278.47,238.75,361.55,376.18,476.35,43.88,73.87,331.66,291.56,69.13,118.89,324.2,310.7,99.5,351.42,374.35,269.13,112.35,104.22,594.85,151.67,74.41,191.17
2019-02-22,112.41,309.15,185.65,306.85,263.01,149.54,274.6,245.82,357.29,382.78,485.0,50.87,82.48,336.25,295.48,76.06,113.1,329.35,303.27,89.15,351.64,384.46,274.52,108.23,99.56,592.12,171.21,87.47,188.8
2019-02-23,114.53,297.92,199.84,306.42,270.0,152.41,285.62,242.65,360.43,379.28,478.55,52.87,87.65,334.01,292.13,76.76,123.35,317.24,307.78,83.57,348.13,372.42,282.14,109.11,91.89,579.55,154.51,71.26,189.12
2019-02-24,119.6,302.32,195.22,318.72,267.1,141.2,274.68,234.59,353.35,380.53,488.03,53.88,77.99,332.23,281.2,80.98,130.66,321.31,309.2,99.24,354.1,390.36,277.88,99.69,88.74,588.63,162.98,85.1,190.13
2019-02-25,104.68,310.4,188.71,316.57,261.2,153.68,286.77,247.35,344.57,375.07,484.31,45.31,88.25,334.73,291.3,81.13,123.26,327.14,305.74,92.73,348.48,389.77,273.9,99.63,87.91,591.81,151.87,72.13,185.97
2019-02-26,114.61,314.03,197.79,313.16,256.36,136.14,276.08,238.92,342.78,371.9,482.03,46.07,88.61,341.91,295.48,73.13,112.7,316.61,298.31,92.6,361.29,376.21,271.56,109.41,91.92,588.63,157.62,75.07,191.63
2019-02-27,109.23,313.61,189.81,304.32,265.36,148.98,271.72,238.36,346.01,371.55,482.52,49.1,77.97,343.07,279.36,82.26,120.26,323.68,296.6,95.09,343.87,381.03,272.67,107.89,94.04,579.81,155.57,77.12,196.05
2019-02-28,107.39,307.94,189.4,315.76,260.65,146.23,281.97,243.56,352.69,381.15,478.41,50.4,78.05,337.19,290.14,72.97,128.16,326.32,297.93,85.42,358.64,377.86,277.54,105.12,104.73,587.47,151.78,84.04,193.78
2019-03-01,108.52,313.29,190.25,313.76,265.39,145.72,272.28,247.69,347.31,385.99,489.46,43.0,89.0,347.69,294.17,81.77,130.95,317.43,299.8,98.62,345.0,376.66,276.86,104.81,94.57,582.56,162.14,84.42,195.95
2019-03-02,108.69,296.83,186.17,319.37,262.02,136.1,278.19,241.55,357.8,388.62,484.56,52.15,74.73,332.57,296.51,87.28,130.53,315.15,292.79,87.77,357.67,385.49,281.31,99.46,93.87,588.25,168.77,79.8,202.6
2019-03-03,117.29,304.09,193.03,322.37,263.79,138.74,288.48,236.9,360.6,375.22,480.37,51.31,86.95,350.06,282.83,86.98,120.75,333.89,291.75,95.36,361.51,373.73,274.75,104.14,98.96,591.75,160.94,79.2,196.65
2019-03-04,110.94,296.61,196.3,307.16,258.77,139.16,283.99,238.55,358.31,380.34,487.07,50.71,83.9,342.5,295.26,87.6,116.91,334.93,292.82,94.26,348.63,379.57,269.63,97.88,107.18,589.2,158.2,86.18,186.63
2019-03-05,108.45,302.58,201.07,307.63,269.6,155.49,282.67,238.34,351.24,390.77,491.91,53.57,75.53,336.13,292.74,70.55,117.81,318.37,292.01,88.61,361.84,380.76,280.23,97.42,103.21,577.99,170.86,84.09,198.46
2019-03-06,115.37,305.08,182.4,315.29,252.94,148.08,286.62,238.79,356.49,381.75,478.52,43.87,86.96,347.93,287.39,83.01,122.99,321.08,307.94,83.95,353.75,387.72,278.66,114.96,87.73,581.6,162.4,88.34,187.06
2019-03-07,100.6,313.98,184.87,310.93,271.58,149.76,287.74,248.62,343.69,380.16,489.82,48.96,81.77,340.25,287.34,78.16,129.98,330.62,306.6,90.51,359.67,387.57,282.28,107.7,106.76,581.42,158.46,82.89,185.59
2019-03-08,100.06,308.44,188.82,310.91,264.12,141.8,284.73,237.89,352.77,390.93,478.34,41.47,89.08,348.31,293.69,79.56,125.45,322.6,308.6,90.22,356.26,374.22,281.01,113.12,100.87,583.83,155.13,78.22,202.2
2019-03-09,108.94,301.47,191.27,312.69,258.14,148.03,273.77,244.78,353.91,376.15,485.74,47.19,90.57,332.53,286.81,81.13,124.61,316.42,307.82,81.47,362.77,372.79,269.31,103.22,94.89,591.51,169.89,80.36,197.14
2019-03-10,106.1,307.93,198.6,304.02,271.9,136.54,275.98,249.57,346.1,388.09,485.76,59.52,76.69,339.02,296.37,71.16,124.77,330.49,306.14,95.92,354.98,389.95,277.4,98.87,105.32,594.6,156.74,75.19,191.12
2019-03-11,112.75,300.92,181.95,306.03,255.18,141.83,276.05,248.3,348.15,376.07,493.01,49.87,77.6,339.53,282.74,85.37,117.18,319.49,293.68,87.42,346.34,388.99,277.92,98.45,91.18,589.76,155.66,83.33,196.33
2019-03-12,109.89,313.52,191.67,305.75,269.6,150.08,286.86,243.98,346.92,386.45,479.95,48.54,71.33,346.53,286.02,83.57,127.17,317.32,305.7,91.21,344.79,381.33,270.55,114.78,92.2,593.83,164.94,77.75,190.63
2019-03-13,102.0,298.7,191.25,305.11,255.77,139.4,279.94,247.0,349.91,377.65,484.66,58.76,77.14,330.95,280.61,75.54,130.73,318.03,297.05,94.14,348.8,380.81,275.09,109.84,95.23,581.65,152.07,84.33,193.42
2019-03-14,109.65,298.14,194.81,304.19,261.34,137.24,281.29,238.01,342.23,376.54,484.8,49.91,72.09,335.28,277.74,86.64,118.12,321.82,309.72,82.37,359.1,377.99,280.03,112.49,98.42,582.78,170.67,78.28,187.31
2019-03-15,101.66,312.92,189.28,307.53,270.64,148.61,273.17,234.71,354.39,371.37,491.21,45.4,71.92,335.17,291.84,72.47,130.23,326.74,300.41,90.15,347.72,375.85,270.91,102.32,91.01,587.38,158.19,83.32,199.83
2019-03-16,102.54,302.48,188.25,317.29,255.2,140.56,277.39,247.33,349.78,383.63,480.86,51.56,72.57,339.01,295.35,87.09,111.95,321.51,297.23,94.54,347.1,378.36,279.67,106.88,93.15,582.85,154.9,89.04,199.79
2019-03-17,102.31,304.64,195.07,312.31,263.83,144.07,286.63,249.63,343.47,379.79,486.15,51.94,87.3,349.08,289.13,80.79,111.93,332.73,302.71,81.97,362.17,371.5,274.54,112.26,96.73,578.31,159.12,78.4,190.09
2019-03-18,108.15,309.08,194.74,309.4,261.48,151.29,275.22,249.97,359.38,389.52,485.76,55.26,83.41,349.99,287.52,69.52,121.55,317.46,292.49,93.48,359.08,386.06,277.82,110.05,103.11,584.99,163.21,88.97,204.8
2019-03-19,114.15,310.23,200.0,323.12,269.03,150.27,288.38,234.27,357.68,386.49,488.29,60.82,76.6,340.4,285.75,79.58,129.73,327.19,307.88,97.64,352.89,381.15,283.8,103.92,93.48,594.31,161.21,90.33,186.2
2019-03-20,114.03,311.94,198.32,310.83,262.92,152.33,288.67,243.16,355.55,388.43,493.87,48.9,89.57,339.38,278.17,71.85,114.42,315.87,310.97,87.64,360.91,388.31,273.38,97.35,98.95,578.96,156.92,73.97,187.77
2019-03-21,105.25,312.87,182.06,322.64,255.61,140.42,278.09,236.75,358.73,386.24,486.51,41.38,75.32,348.09,281.4,69.75,111.95,326.3,305.18,85.84,343.52,371.2,283.57,104.58,101.91,584.1,165.71,72.16,199.84
2019-03-22,108.01,303.08,181.82,314.55,264.99,139.11,284.35,247.31,355.0,384.66,483.59,50.73,89.78,342.87,281.91,71.18,128.22,322.78,306.37,90.85,353.4,381.42,280.98,97.94,104.02,578.18,170.62,83.15,190.74
2019-03-23,115.16,302.38,181.59,316.35,253.85,142.07,290.55,248.09,353.2,378.2,484.87,52.98,84.39,342.09,293.29,73.14,130.64,334.47,307.68,85.33,352.21,378.96,270.31,109.48,97.48,578.24,159.2,73.45,201.38
2019-03-24,117.41,304.66,195.22,311.06,267.4,143.59,276.35,235.57,359.15,388.52,495.73,48.2,85.62,334.51,287.97,80.93,122.96,321.33,292.2,88.93,356.33,381.84,283.36,116.75,96.42,594.19,169.81,70.84,204.77
2019-03-25,101.83,300.25,195.57,321.67,266.05,150.33,290.34,236.16,351.0,390.5,482.39,55.85,86.53,333.56,290.7,79.91,119.87,315.91,306.27,89.86,348.41,374.62,284.96,107.82,94.85,589.53,154.47,88.23,201.59
2019-03-26,107.25,313.45,184.82,306.57,266.47,152.47,274.45,240.37,355.88,385.93,481.19,46.17,77.48,341.87,295.06,71.97,114.22,330.4,305.49,97.1,359.85,386.96,279.02,115.09,104.86,588.05,165.17,86.68,204.01
2019-03-27,115.52,299.96,191.28,304.82,252.85,152.7,278.34,238.06,359.49,384.85,477.7,46.89,90.05,342.84,282.5,70.53,127.31,331.1,293.37,91.36,346.26,380.31,283.08,114.08,97.86,587.66,157.05,71.25,185.76
2019-03-28,107.58,304.07,192.26,306.49,261.7,146.29,282.75,243.92,342.95,374.64,478.52,58.47,83.31,341.18,293.83,81.28,128.21,326.21,292.86,84.72,352.91,388.92,274.16,111.21,88.57,584.18,166.96,81.67,199.13
2019-03-29,106.39,302.07,184.01,309.96,264.57,138.43,273.54,238.57,342.43,380.34,486.02,60.1,71.57,349.01,286.58,83.2,127.42,319.06,298.43,99.17,350.67,383.44,283.24,114.4,91.21,587.51,154.0,83.47,188.64
2019-03-30,103.27,307.47,198.97,318.13,254.98,154.13,280.1,237.1,355.02,371.97,478.71,54.03,84.37,338.36,283.94,87.81,124.7,334.13,307.72,91.69,354.95,380.79,285.66,98.98,99.14,597.45,158.99,87.53,187.04
2019-03-31,103.65,308.69,196.03,309.53,270.58,137.73,276.79,243.2,345.96,378.98,486.82,55.32,78.17,338.12,293.59,87.07,111.64,323.84,302.73,93.55,349.42,380.23,274.5,112.14,93.31,588.77,166.15,85.2,203.65
2019-04-01,141.31,368.53,233.75,383.34,316.13,168.41,334.82,299.7,417.11,461.28,581.46,53.89,104.58,418.34,345.11,91.7,142.27,396.39,353.91,111.34,415.5,462.4,338.18,132.66,107.54,700.88,193.09,92.39,234.24
2019-04-02,141.35,363.01,227.1,367.01,307.09,183.07,343.59,295.46,420.22,449.39,577.73,52.43,102.72,401.5,335.57,97.26,144.06,389.54,366.37,101.77,426.67,448.6,336.59,121.99,117.68,712.36,189.1,96.36,233.91
2019-04-03,139.6,363.56,229.34,367.72,318.36,168.8,332.13,293.49,430.01,467.44,582.79,67.67,102.17,404.3,339.63,98.96,137.87,382.27,363.61,101.93,418.19,450.93,341.3,125.89,113.22,698.93,192.16,95.23,241.32
2019-04-04,137.74,360.48,229.31,370.08,312.39,166.82,336.0,291.49,419.23,459.96,592.9,60.98,92.0,413.75,352.71,95.69,151.51,380.75,370.13,117.64,433.29,449.43,332.45,123.84,118.07,701.58,200.86,94.88,234.84
2019-04-05,131.52,376.31,235.0,367.49,319.04,172.18,345.09,287.27,413.0,450.48,575.65,52.39,88.65,415.96,343.78,89.47,146.51,381.7,370.33,99.6,425.5,450.74,333.94,137.86,118.53,711.18,187.32,90.64,225.16
2019-04-06,133.03,357.43,222.48,373.66,304.53,170.59,346.32,284.98,427.2,458.58,578.89,65.05,104.4,410.85,348.81,96.94,142.18,397.44,371.23,109.93,429.49,447.77,335.74,127.35,113.26,708.8,190.24,87.35,234.93
2019-04-07,128.74,364.77,221.19,385.84,310.77,177.78,327.81,300.78,427.75,458.71,574.12,65.74,102.62,407.17,344.28,89.51,153.15,385.0,356.04,107.44,425.37,459.3,332.77,132.22,107.51,712.93,198.42,93.02,243.89
2019-04-08,121.97,376.18,238.29,381.19,323.6,169.77,346.5,290.17,422.05,466.56,591.24,65.44,91.66,415.68,343.63,97.19,144.49,392.07,370.86,118.48,415.9,450.73,342.79,130.61,123.95,705.45,199.52,101.27,228.06
2019-04-09,137.07,369.47,232.46,374.71,315.86,181.88,332.85,285.66,428.93,460.1,585.01,65.9,101.14,400.53,335.69,102.86,151.15,381.23,354.55,101.87,430.5,454.73,344.23,133.19,122.94,705.16,184.52,105.11,238.87
2019-04-10,138.0,369.93,239.36,373.35,320.44,180.26,334.32,301.66,420.81,466.84,578.3,62.65,102.43,417.69,337.42,89.01,147.95,398.51,357.89,115.71,415.6,447.35,339.62,121.62,118.5,700.02,184.69,88.46,243.91
2019-04-11,141.36,364.14,227.37,368.73,304.72,167.72,330.33,290.96,431.46,447.86,581.15,60.97,92.74,415.55,337.29,94.56,143.13,399.26,355.01,113.73,414.32,466.4,340.35,122.79,120.5,713.5,184.82,91.22,236.65
2019-04-12,125.43,372.99,227.08,385.35,317.71,180.66,328.72,299.9,422.59,464.45,588.31,65.7,88.23,410.12,349.0,94.88,155.64,398.23,365.05,117.73,423.94,452.21,343.14,132.25,115.5,705.91,193.78,93.56,229.98
2019-04-13,126.7,360.05,223.17,375.42,308.88,181.59,333.85,287.93,413.59,451.25,588.72,62.02,96.6,416.93,335.52,94.5,148.35,385.43,361.79,106.88,433.41,461.31,343.87,124.04,111.1,708.63,192.8,105.2,225.5
2019-04-14,135.93,357.21,226.31,372.67,307.15,183.77,333.28,288.91,424.32,455.25,583.48,54.15,105.35,411.84,340.15,88.22,143.1,391.41,368.92,112.35,423.13,447.28,339.1,137.45,116.52,707.04,194.74,91.04,234.57
2019-04-15,141.7,369.74,224.66,380.75,311.59,171.43,330.83,296.42,412.94,464.17,588.88,58.65,105.31,412.04,350.34,85.35,141.06,383.54,355.14,101.11,415.37,449.0,330.1,125.97,125.44,706.61,198.25,105.19,228.51
2019-04-16,133.84,369.15,232.46,375.5,320.26,175.13,328.92,297.84,425.3,458.55,578.5,56.75,92.44,410.7,334.86,103.96,152.79,386.94,354.95,102.78,417.69,465.21,324.97,125.72,111.24,703.92,183.57,88.47,231.45
2019-04-17,123.63,361.32,233.31,379.5,320.02,182.54,334.96,290.87,427.26,457.47,588.01,63.78,89.43,409.98,344.29,88.91,135.91,383.67,352.05,109.63,429.49,456.89,343.48,118.93,113.11,714.28,203.34,101.44,239.27
2019-04-18,129.69,363.44,236.59,377.38,316.85,165.27,337.88,287.69,431.41,452.63,588.2,56.5,100.34,402.29,344.15,100.74,135.94,395.69,365.0,115.47,423.95,452.42,340.11,136.53,108.73,699.87,185.17,88.07,227.5
2019-04-19,136.65,358.59,234.34,376.74,315.7,184.11,340.82,301.38,419.13,465.23,581.68,65.65,97.33,416.7,347.31,89.86,153.73,388.04,359.87,113.93,431.26,462.85,343.74,127.2,115.16,705.92,200.34,101.92,225.26
2019-04-20,136.71,371.68,228.77,370.93,307.67,182.41,333.07,285.17,425.9,456.64,582.59,67.57,87.84,399.68,335.77,95.75,141.44,384.11,363.29,116.6,422.33,448.98,340.41,119.57,120.45,714.06,201.95,98.52,234.74
